hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 9686.51, 10026.1, 9857.44, 0, 110.391, 114.26, 112.338, 6.61621
0, 0.00000, 9761.68, 10103.3, 9939.49, 0, 108.479, 112.274, 110.453, 6.52113
0, 0.00000, 9837.59, 10181.3, 10022.5, 0, 106.53, 110.252, 108.532, 6.42352
0, 0.00000, 9914.13, 10260, 10106.5, 0, 104.547, 108.194, 106.574, 6.32343
0, 0.00000, 9991.38, 10339.5, 10191.3, 0, 102.527, 106.099, 104.578, 6.22071
0, 0.00000, 10069.4, 10419.9, 10277.2, 0, 100.469, 103.965, 102.541, 6.11492
0, 0.00000, 10148, 10501.2, 10363.8, 0, 98.3751, 101.799, 100.467, 6.00481
0, 0.00000, 10227.3, 10583.3, 10451.4, 0, 96.2421, 99.592, 98.3508, 5.89188
0, 0.00000, 10307.2, 10666.1, 10540, 0, 94.07, 97.3456, 96.1941, 5.77696
0, 0.00000, 10387.7, 10749.7, 10629.4, 0, 91.8591, 95.0598, 93.9966, 5.65945
0, 0.00000, 10468.8, 10834, 10719.9, 0, 89.6074, 92.7324, 91.7558, 5.53886
0, 0.00000, 10550.5, 10918.9, 10811.1, 0, 87.3159, 90.3641, 89.4723, 5.41513
0, 0.00000, 10632.9, 11004.5, 10903.3, 0, 84.9823, 87.953, 87.1438, 5.28812
0, 0.00000, 10715.7, 11090.9, 10996.4, 0, 82.6059, 85.498, 84.7694, 5.15771
0, 0.00000, 10799.1, 11177.9, 11090.3, 0, 80.1883, 83.0006, 82.3502, 5.02387
0, 0.00000, 10883.2, 11265.6, 11185, 0, 77.7269, 80.4584, 79.883, 4.88545
